QID,Task Sentiment,IAS,rank,Resp_cleaned,positive,negative,joy,sadness,anger,fear
qGEN1,,Bing,1,Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia. A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ...,99.9093770980835,0.09062392637133598,11.563355475664139,86.94611191749573,0.4908338189125061,0.9996943175792694
qGEN2,,Bing,2,Extreme up-close video of tornado near Wray CO! - YouTube. Extreme up-close footage of tornado just north of Wray CO earlier today! SEE ALSO 360 Video! https www.youtube.com watch?v TCXp9Y5uPn4 MORE VIDEOS http ...,99.97544884681702,0.024548577493987978,99.93714690208435,0.027812732150778174,0.013232360652182251,0.021810649195685983
qGEN3,,Bing,3,Tornado facts and information. Tornadoes are vertical funnels of rapidly spinning air. Their winds may top 250 miles an hour and can clear a pathway a mile wide and 50 miles long.,99.96992349624634,0.03008348576258868,99.89659786224365,0.048016782966442406,0.02298168110428378,0.032407944672740996
qGEN4,,Bing,4,Tornado Central - weather.com. Tornado Season Is Off to an Active Start But What Does That Mean for the Rest of It? May 7 2019 1 30 pm EDT March and April saw more tornado reports than average but that does not mean May and ...,0.6664569955319166,99.33353662490845,2.1681882441043854,84.03660655021667,0.040766625897958875,13.754434883594513
qGEN5,,Bing,5,Tornadoes Ready.gov. Tornadoes can destroy buildings flip cars and create deadly flying debris. Tornadoes are violently rotating columns of air that extend from a thunderstorm to the ground. Tornadoes can Happen anytime and anywhere Bring intense winds over 200 MPH and Look like funnels.,0.08909141179174185,99.91090893745422,0.27209611143916845,0.11619928991422057,99.4569480419159,0.15474817482754588
qGEN11,,Bing,1,Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia. A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or in rare cases the base of a cumulus cloud.The windstorm is often referred to as a twister whirlwind or cyclone although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which from an observer looking ...,99.9093770980835,0.09062392637133598,11.563355475664139,86.94611191749573,0.4908338189125061,0.9996943175792694
qGEN12,,Bing,2,Tornado facts and information. Tornadoes are vertical funnels of rapidly spinning air. Their winds may top 250 miles an hour and can clear a pathway a mile wide and 50 miles long.,99.96992349624634,0.03008348576258868,99.89659786224365,0.048016782966442406,0.02298168110428378,0.032407944672740996
qGEN13,,Bing,3,Extreme up-close video of tornado near Wray CO! - YouTube. Extreme up-close footage of tornado just north of Wray CO earlier today! SEE ALSO 360 Video! https www.youtube.com watch?v TCXp9Y5uPn4 MORE VIDEOS http ...,99.97544884681702,0.024548577493987978,99.93714690208435,0.027812732150778174,0.013232360652182251,0.021810649195685983
qGEN14,,Bing,4,Tornado Central - weather.com. Tornado Season Is Off to an Active Start But What Does That Mean for the Rest of It? May 7 2019 1 30 pm EDT March and April saw more tornado reports than average but that does not mean May and ...,0.6664569955319166,99.33353662490845,2.1681882441043854,84.03660655021667,0.040766625897958875,13.754434883594513
qGEN15,,Bing,5,Tornadoes Ready.gov. Tornadoes can destroy buildings flip cars and create deadly flying debris. Tornadoes are violently rotating columns of air that extend from a thunderstorm to the ground. Tornadoes can Happen anytime and anywhere Bring intense winds over 200 MPH and Look like funnels.,0.08909141179174185,99.91090893745422,0.27209611143916845,0.11619928991422057,99.4569480419159,0.15474817482754588
